标题,采购项目名称,预算总金额,采购单位,截止报名时间,选取中介服务机构方式,项目内容
关于为【2025年坦洲镇十四村社区存量农房风貌提升项目测量服务】公开选取【测绘】机构的公告,2025年坦洲镇十四村社区存量农房风貌提升项目测量服务,"投资额（¥377,935.49元）",中山市坦洲镇十四村社区居民委员会,2025-11-17 15:10,直接选取,完成2025年坦洲镇十四村社区存量农房风貌提升项目测量服务
关于为【2025年三角镇违法建设测绘项目（第二期）】公开选取【测绘】机构的公告,2025年三角镇违法建设测绘项目（第二期）,其他,中山市三角镇综合行政执法局,2025-11-17 11:40,直接选取,根据项目业主工作要求，开展违法建设测量工作，提供违法建设测量服务。对辖区内的各类建筑（构）物进行实地测量（包括框架结构、钢架结构、砖棚结构、简易棚结构）的厂房、住宅、工棚、养殖场棚、涉水违建及堆填物等。
关于为【中山市东区街道暗涵治理工程（二标段）规划放线测量服务】公开选取【测绘】机构的公告,中山市东区街道暗涵治理工程（二标段）规划放线测量服务,其他,中山市东区街道城市更新和建设服务中心,2025-11-17 09:30,信用择优选取,对该项目进行规划放线、规划验线，并提供合格验线报告及主管部门的验线合格证。
关于为【安置房测绘服务】公开选取【测绘】机构的公告,安置房测绘服务,其他,中山市土地房屋征收管理中心,2025-11-14 15:30,信用择优选取,为做好11宗安置房的办证工作，拟对该11宗安置房进行入户测绘，测绘数据需在中山市不动产权籍管理系统办理成果入库。需进行测绘的房源具体：（一）和平正街2号4宗商铺，1宗住宅：分别为和平正街2号15卡、16卡、25卡、26卡商铺，和平正街2号C梯204房。（二）张溪豪苑2宗车房，分别为张溪豪苑D幢604房对应车房（编号为E30），张溪豪苑内编号为E24的车房。（三）石岐街道保宁里1号4宗车房。
关于为【广澳高速改扩建工程项目新增翠亨服务区测量服务】公开选取【测绘】机构的公告,广澳高速改扩建工程项目新增翠亨服务区测量服务,"投资额（¥160,000.00元）",中山翠亨新区土地房屋征收中心,2025-11-14 12:00,直接选取,根据要求，开展1：500实测现状地形图测绘工作，同时提供现场测绘并出具测绘蓝图；广澳高速改扩建工程项目新增翠亨服务区项目测量的宗地、房产测绘和青苗及地上附着物清点。
关于为【东凤镇小区排水管网错混接改造工程三期测绘服务】公开选取【测绘】机构的公告,东凤镇小区排水管网错混接改造工程三期测绘服务,"投资额（¥23,338,300.00元）",中山市东凤镇城市建设和管理局,2025-11-14 11:10,直接选取,对东凤镇小区排水管网错混接改造工程三期所涉及7个小区进行排水管线及立管测量。测绘结果主要用于工程设计。
关于为【火炬开发区东利南路改造工程——宗地测量】公开选取【测绘】机构的公告,火炬开发区东利南路改造工程——宗地测量,其他,中山火炬高技术产业开发区城市建设服务中心,2025-11-13 17:30,信用择优选取,火炬开发区东利南路改造工程起点从东利南路转向健康路的丁字路口至博爱路延长线珊洲段终点，道路建设总长度为421.5米，道路宽度为17米~36米，指定用地范围内进行宗地图测量、测绘时按1:500比例地籍测量要求进行测量，土地勘测定界报告书、提供用地蓝图时可用1：1000比例出图，需办理不动产权证及数据入库系统相关账号，办理不动产权证及数据入库，完成后提交成果至甲方（含电子版）。
关于为【三角镇蟠龙村风貌提升工程测绘】公开选取【测绘】机构的公告,三角镇蟠龙村风貌提升工程测绘,"投资额（¥1,000,000.00元）",中山市三角镇蟠龙村股份合作经济联合社,2025-11-13 11:50,直接选取,对蟠龙村范围22处点位的长度、高度、地形进行测量
关于为【翠亨新区（南朗街道）园林绿化提升项目（2025~2027年）测量】公开选取【测绘】机构的公告,翠亨新区（南朗街道）园林绿化提升项目（2025~2027年）测量,"投资额（¥19,500,000.00元）",中山翠亨新区工程项目建设事务中心,2025-11-13 11:30,信用择优选取,根据施工计划包括但不限于原地貌测量、地形测绘、挖填土方测量等在内的所有测绘服务;根据项目业主要求，指定范围内开展1:500实测现状地形图测绘工作，并完成中山市自然资源局地理信息系统入库，且按业主要求，提供入库成果的电子版及纸质版。
关于为【民众街道沿江村自留地测绘分户服务项目（第二批）】公开选取【测绘】机构的公告,民众街道沿江村自留地测绘分户服务项目（第二批）,平方米（74000.0平方米）,中山市民众街道沿江村民委员会,2025-11-13 09:10,直接选取,根据项目业主委托及提供的资料，测量单位对自留地分户进行规划并出具图纸、现场进行放点标记，自留地面积约111亩。
