标题,采购项目名称,预算总金额,采购单位,截止报名时间,选取中介服务机构方式,项目内容
关于为【中山市小榄镇公益性建设项目拆迁用地综合咨询服务】公开选取【测绘，工程咨询】机构的公告,中山市小榄镇公益性建设项目拆迁用地综合咨询服务,其他,中山市小榄镇城市更新和建设服务中心,2025-08-14 10:00,直接选取,对涉及未完善用地手续情况的拆迁安置地综合咨询服务包括但不限于以下内容：用地测量、编制建设用地社会稳定风险评估报告、编制耕作层剥离再利用方案等工作。
关于为【港口镇社区配套幼儿园升级改造项目测绘】公开选取【测绘】机构的公告,港口镇社区配套幼儿园升级改造项目测绘,"投资额（¥4,000,000.00元）",中山市港口镇教育和体育事务中心,2025-08-12 17:00,直接选取,港口镇社区配套幼儿园升级改造项目（中山市港口镇城市更新基础设施建设项目（一期）（标段三））需要开展测绘工作，出具相关测量图纸及报告。
关于为【神湾镇2025年零星测绘工作】公开选取【测绘】机构的公告,神湾镇2025年零星测绘工作,"投资额（¥100,000.00元）",中山市神湾镇城市建设和管理局,2025-08-12 09:30,直接选取,按照工作需求，开展项目用地测量图、勘测定界报告、不动产权籍表、航拍图及视频制作等相关测绘工作，并按照审批部门的意见，对相关材料进行修改及完善，最终达到备案及入库相关要求。
关于为【中山市坦洲镇合胜片区老旧街区更新改造项目（一期）测量项目】公开选取【测绘】机构的公告,中山市坦洲镇合胜片区老旧街区更新改造项目（一期）测量项目,"投资额（¥248,550,500.00元）",中山市坦洲镇城市更新和建设服务中心,2025-08-11 16:00,直接选取,"一、工程概况：本项目位于中山市坦洲镇，主要是对坦洲镇合胜片区(2307单元)11街区进行更新改造，推动片区基础设施完善升级，优化升级街区公共空间。主要建设内容及规模为:完善片区路网系统，拓宽街区配套道路约 986米，改造街区道路4条约1891米;建设配套停车泊位 150 处，新增充电桩 150 台;同步改造 10.3 千米电力管网，6.9千米排水管网等;建设垃圾箱38个;同步建设道路交通安全设施、安防设施、适老化设施、无障碍设等街区配套公共服务基础设施。
二、相关服务要求：
1、测量范围：坦洲镇合胜片区坦群公路周边，测量面积约322548.08平方米。
2、测量内容：测量区内主要地物，建筑物层数、结构及标高，外露地面设施坐标，现状路面及建筑物周边的地面标高。现状所有管线位置的坐标、标高及管径，明确管线井位、名称、公司等信息。需提供测量数量表（井盖的种类、数量；树木的种类、胸径、数量；电力电信设施、路灯数量；交通标牌及监控设施数量等），市政道路每隔20米提供断面标高。
3、测量要求：依据国家相关规定规范及现行国家标准进行测量。提供1：500测量图，点位精度及密度达到规范要求，同时满足施工图设计及工程建设要求。
4、如测量图有错漏或未按相关规范及建设单位要求测量，测绘单位必须进行补测及返测。
5、根据工程实际需要，测量单位在本工程开工前（出具测量成果2年内，具体时间由发包方定），需提供至少3个坐标控制点和2个水准控制点给建设单位。
6、测量单位在测量全过程所提交的图纸电子版（包括CAD及PDF等），必须与纸质版保持一致。
7、出图数量：盖章测量图一式3份及CAD电子版1份。
8、提供符合申报要求的宗地图8份，并负责录入联合测绘系统。"
关于为【2025年森林质量精准提升林分优化项目大岭采伐松树桩点定位测量】公开选取【测绘】机构的公告,2025年森林质量精准提升林分优化项目大岭采伐松树桩点定位测量,"投资额（¥13,248.00元）",中山市中山港街道农业林业服务中心,2025-08-11 11:10,直接选取,根据项目业主要求，对2025年森林质量精准提升林分优化项目大岭小区已采伐的368株松树进行桩点定位测量（以实际测量数量为准）。编制松树定点（坐标图）和项目报告书。
关于为【广中江高速公路项目红线外涉及征收土地及地上附着物测量】公开选取【测绘】机构的公告,广中江高速公路项目红线外涉及征收土地及地上附着物测量,其他,中山市南头镇城市更新和建设服务中心,2025-08-11 11:20,一选一随机抽取,需对23宗红线外土地及地上附着物进行测量。
关于为【南区街道2025年度集体土地所有权证变更有关测量工作】公开选取【测绘】机构的公告,南区街道2025年度集体土地所有权证变更有关测量工作,"投资额（¥260,300.00元）",中山市南区街道城市建设和管理局,2025-08-11 10:30,直接选取,开展权籍调查、出具宗地图、所有权证变更登记等工作
